,넘버 제목,배우,앨범,가사,정제
1,달 샤베트,김채은,뮤지컬 달 샤베트 OST,"우와! 이게 다 뭐예요?
달 샤베트
달 샤베트?
하나씩 나눠 줄까?
네! 좋아요!

노오란 달 물을
샤베트 틀에 담아
꽁꽁 얼려서 만든
달달달달 달 샤베트, 달 샤베트

달 샤베트
달이 담겨진
차갑고 달콤하고 노오란
달 샤베트
달이 담겨져
예쁘고 반짝이고 소중해

달 샤베트
달이 담겨진
차갑고 달콤하고 노오란
달 샤베트
달이 담겨져
예쁘고 반짝이고 소중해

Yum Yum Yummy Yummy
달 샤베트
Yum Yum Yummy Yummy
달 샤베트
Yum Yum Yummy Yummy
달 샤베트
Yum Yum Yummy Yummy
달 샤베트
달 샤베트

달 샤베트 한 입 베어 먹으니
이마의 땀이 싸악 달아나고
달 샤베트 두 입 베어 먹으니
서늘한 여름 바람 슈웅 불어와
달 샤베트 세 입 베어 먹으니
잠이 솔솔 솔솔

시원하고 달콤한, 다 같이!
(시원하고 달콤한)

시원하고 달콤한, 한 번 더!
(시원하고 달콤한)
달 (달)
샤 (샤)
베 (베)
트 (트)

달 샤베트
(달 샤베트)

달 샤베트 달이 담겨진
차갑고 달콤하고 노오란
달 샤베트
달이 담겨져
예쁘고 반짝이고 소중해
달달달달 달 샤베트
달 샤베트- 샤베트!","['에요', '샤베트', '샤베트', '나누', 'ㄹ까', '아요', '노오랗', '샤베트', '꽁꽁', '얼리', '어서', '달달', '달달', '샤베트', '샤베트', '샤베트', '담기', '차갑', '달콤', '노오랗', '샤베트', '담기', '예쁘', '반짝이', '소중', '샤베트', '담기', '차갑', '달콤', '노오랗', '샤베트', '담기', '예쁘', '반짝이', '소중', 'Yum', 'Yum', 'Yummy', 'Yummy', '샤베트', 'Yum', 'Yum', 'Yummy', 'Yummy', '샤베트', 'Yum', 'Yum', 'Yummy', 'Yummy', '샤베트', 'Yum', 'Yum', 'Yummy', 'Yummy', '샤베트', '샤베트', '샤베트', '으니', '이마', '달아나', '샤베트', '으니', '서늘', '여름', '바람', '슈웅', '불어', '샤베트', '으니', '솔솔', '시원', '달콤', '시원', '달콤', '시원', '달콤', '시원', '달콤', '샤베트', '샤베트', '샤베트', '담기', '차갑', '달콤', '노오랗', '샤베트', '담기', '예쁘', '반짝이', '소중', '달달', '달달', '샤베트', '샤베트', '샤베트']"
2,우당탕탕 베베핀 가족,베베핀,베베핀 뮤지컬 <우당탕탕 패밀리> OST,"까꿍

베베 베베 베베
베베 베베핀

베베 베베 베베
우

베베 베베 베베
베베 베베핀

베베 베베 베베핀

베베핀

심심할 때 불러 베베
나랑 같이 춤춰 베베
우유 한잔 어때 베베

잠깐! 기저귀부터 좀 갈고

매일매일 노래해 베베
나와 함께
매일매일 신나게 베베
모두 함께 외쳐봐
베베핀

베베 베베 베베
베베 베베핀
베베 베베 베베 우

베베 베베 베베
베베 베베핀
베베 베베 베베핀

우린 우당탕탕
탕탕

우당탕탕 우리 모두 모이면
우당탕탕 신나지

우당탕탕 우리 가족 모이면
우당탕탕 시작해

우당탕탕 우당탕탕

신나는 우리가족
행복한 우리가족
언제나 함께함께
예~","['까꿍', '심심', '불르', '나랑', '춤추', '우유', '한잔', '기저귀', '매일', '매일', '노래', '매일', '매일', '신나', '외치', '우당탕', '우당탕', '모이', '우당탕', '신나', '우당탕', '가족', '모이', '우당탕', '시작하', '우당탕', '우당탕', '신나', '가족', '행복', '가족', '언제나']"
3,황근출 뮤지컬,빤스짐머,황근출 뮤지컬,"황근출 해병님
오! 오도기합 짜세해병님
호랑이처럼 달려와 내 가슴팍을 걷어차
귀싸대길 올려붙였던 황근출 해병님
악으로 먹어라
니가 선택해서 온 해병대다
악으로 먹어라

명심해라 해병은 자신의 선택이 불러온
책임을 피하지 않는다
소주를 먹지 않고도 나를 취하게 만들어

맛동산 몇 봉지에 해병정신을 배웠고
해병 정신에 취했다
해병 정신에 취했다","['해병', '오도', '기합', '해병', '호랑이', '처럼', '달려오', '가슴팍', '대길', '올려붙이', '해병', '어라', '선택', '어서', '해병대', '명심', '해병', '선택', '불러오', '책임', '피하', '소주', '취하', '만들', '동산', '봉지', '해병', '정신', '배우', '정신', '취하', '정신', '취하']"
15,뛰어 뛰어(New Ver.),캐리와 친구들,뛰어 뛰어(New Ver.) (캐리TV '러브콘서트 2024 타임캡슐' 수록곡),"워 어어어 워 어어
워 어어어 워 어어
모두 같이 뛰어 뛰어
워 어어어 워 어어
워 어어어
우리 친구들 준비 됐나요

뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (하늘 높이 뛰어봐)
뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (jump, jump) 뛰어! 뛰어!

왼쪽 오른쪽 앞뒤로 막 쿵쿵
위로 아래로 손뼉을 짝짝짝
무릎을 굽히고 주먹을 꽉 쥐고
누가 더 높이 뛰나 jump, jump, let's go

춤 춰라 춤 춰라 랄랄랄라 신나게
뛰어라! 뛰어라! 손을 쭉쭉 jump, jump
신나게 신나게 손가락은 V, V, V
준비하시고 여기보시고 smile~

더 높이 높이 뛰어! 뛰어! 뛰어!
더 멀리 멀리 크게 소리 질러!
양 팔을 벌리고 신나게 쿵쿵쿵
높이 높이 뛰어! 뛰어! 뛰어!

뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (하늘 높이 뛰어봐)
뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (jump, jump) 뛰어! 뛰어!

왼쪽 오른쪽 앞뒤로 막 쿵쿵
위로 아래로 손뼉을 짝짝짝
무릎을 굽히고 주먹을 꽉 쥐고
누가 더 높이 뛰나 jump, jump, let's go

춤 춰라 춤 춰라 랄랄랄라 신나게
뛰어라! 뛰어라! 손을 쭉쭉 jump, jump
신나게 신나게 손가락은 V, V, V
준비하시고 여기보시고 smile~

더 높이 높이 뛰어! 뛰어! 뛰어!
더 멀리 멀리 크게 소리 질러!
양 팔을 벌리고 신나게 쿵쿵쿵
높이 높이 뛰어! 뛰어! 뛰어!

뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (하늘 높이 뛰어봐)
뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (jump, jump) 뛰어! 뛰어!


(랄랄랄라 라라 랄랄라)
신나게 뛰어보자
(랄랄랄라 라라 랄랄라)
V, V, V, V, V, V
여기여기 붙어라!

더 높이 높이 뛰어! 뛰어! 뛰어!
더 멀리 멀리 크게 소리 질러!
양 팔을 벌리고 신나게 쿵쿵쿵
높이 높이 뛰어! 뛰어! 뛰어!

뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (하늘 높이 뛰어봐)
뛰어! 뛰어! (jump, jump, jump, jump)
뛰어! 뛰어! (jump, jump) 뛰어! 뛰어!","['친구', '준비', '나요', 'jump', 'jump', 'jump', 'jump', '하늘', '높이', 'jump', 'jump', 'jump', 'jump', 'jump', 'jump', '왼쪽', '오른쪽', '앞뒤', '쿵쿵', '위로', '아래', '손뼉', '짝짝', '무릎', '굽히', '주먹', '높이', 'jump', 'jump', 'let', 'go', '랄랄랄', '신나', '어라', '어라', '쭉쭉', 'jump', 'jump', '신나', '신나', '손가락', '준비', 'smile', '높이', '높이', '멀리', '멀리', '소리', '질르', '벌리', '신나', '쿵쿵', '높이', '높이', 'jump', 'jump', 'jump', 'jump', '하늘', '높이', 'jump', 'jump', 'jump', 'jump', 'jump', 'jump', '왼쪽', '오른쪽', '앞뒤', '쿵쿵', '위로', '아래', '손뼉', '짝짝', '무릎', '굽히', '주먹', '높이', 'jump', 'jump', 'let', 'go', '랄랄랄', '신나', '어라', '어라', '쭉쭉', 'jump', 'jump', '신나', '신나', '손가락', '준비', 'smile', '높이', '높이', '멀리', '멀리', '소리', '질르', '벌리', '신나', '쿵쿵', '높이', '높이', 'jump', 'jump', 'jump', 'jump', '하늘', '높이', 'jump', 'jump', 'jump', 'jump', 'jump', 'jump', '랄랄랄', '랄랄', '신나', '랄랄랄', '랄랄', '어라', '높이', '높이', '멀리', '멀리', '소리', '질르', '벌리', '신나', '쿵쿵', '높이', '높이', 'jump', 'jump', 'jump', 'jump', '하늘', '높이', 'jump', 'jump', 'jump', 'jump', 'jump', 'jump']"
16,하하 호호,캐리와 친구들,하하 호호 (캐리TV '러브콘서트 2024 타임캡슐' 수록곡),"찡그린 얼굴을 펴요
당신은 웃는 게 예뻐
어여쁜 입술을 씰룩씰룩
웃음은 참는 게 아냐

가슴이 답답하고 지칠 때
신나는 노래를 틀어요
무작정 크게 따라 불러
정말로 웃음이 나와

하하 호호호
함께 노래 불러요
걱정은 던져버리고
하하 호호호
나를 따라 해봐요
배꼽이 빠질지 몰라

하하하 호호호
웃으면 복이 온대요
하하하 호호호
웃으면 행복해져요

축 처진 어깨를 펴요
당신은 충분히 멋져
저절로 온몸이 흔들흔들
신나게 춤을 춰 봐요

가슴이 답답하고 지칠 때
신나는 노래를 틀어요
무작정 크게 따라 불러
정말로 웃음이 나와

하하 호호호
함께 노래 불러요
걱정은 던져버리고
하하 호호호
나를 따라 해봐요
배꼽이 빠질지 몰라

하하하 호호호
웃으면 복이 온대요
하하하 호호호
웃으면 행복해져요

당신이 즐거워 웃는 그 모습을
그저 바라보기만 해도
난 벌써 행복해져요
더 크게 노래하고파

하하하 호호호
웃으면 복이 온대요
하하하 호호호
웃으면 행복해져요

하하하 호호호
웃으면 행복해져요","['찡그리', '얼굴', '어요', '예쁘', '어여쁘', '입술', '씰룩씰룩', '웃음', '아냐', '가슴', '답답', '지치', '신나', '노래', '어요', '무작정', '따르', '부르', '정말로', '웃음', '나오', '호호', '노래', '러요', '걱정', '던지', '버리', '호호', '따르', '해보', '아요', '배꼽', '빠지', 'ㄹ지', '몰르', '호호', '으면', '온대', '호호', '으면', '행복', '해지', '어요', '처지', '어깨', '어요', '충분히', '멋지', '저절로', '온몸', '흔들흔들', '신나', '아요', '가슴', '답답', '지치', '신나', '노래', '어요', '무작정', '따르', '부르', '정말로', '웃음', '나오', '호호', '노래', '러요', '걱정', '던지', '버리', '호호', '따르', '해보', '아요', '배꼽', '빠지', 'ㄹ지', '몰르', '호호', '으면', '온대', '호호', '으면', '행복', '해지', '어요', '즐거우', '모습', '바라보', '어도', '벌써', '행복', '해지', '어요', '노래', '호호', '으면', '온대', '호호', '으면', '행복', '해지', '어요', '호호', '으면', '행복', '해지', '어요']"
17,어른이 되면,캐리와 친구들,어른이 되면 (캐리TV '러브콘서트 2024 타임캡슐' 수록곡),"난 어른이 되면 어떤 모습이 될까요?
하루 빨리 어른이 되기를 꿈꿨죠
맛있는 것도
재밌는 것도
날 마다 기대했는데
어른이 된다는 건 쉬운 게 아니겠죠?
어린이 여러분 지금 이 시간은 어떤 시간?
우리가 만들어가는 시간

내 이름은 루시
잠깐 지금 몇시?
시간이 왜이렇게 빠른건데?
나를 부르는
엄마의 목소리
친구야 내일봐 헤어질 시간
어른이 되면 다르겠지?
늦게까지 친구들과 놀 수 있겠지?
실컷 핸드폰 보고
아이스크림도
먹을 수 있을 거라 생각했어
하지만 시간이 흐른다고
다 어른이 되는 게 아니란 걸 알았어
어른이 된다는 건 나를 가꾸는 일

난 어른이 되면 어떤 모습이 될까요?
하루 빨리 어른이 되기를 꿈꿨죠
맛있는 것도
재밌는 것도
날 마다 기대했는데
어른이 된다는 건 쉬운 게 아니겠죠?
어린이 여러분 지금 이 시간은 어떤 시간?
우리가 만들어가는 시간

공부해라 루시
시험은 잘 봤니
엄마 친구 아이는 잘한다던데
다른 사람과 비교는 싫어
더 빨리 어른이 되고 싶었어
어른이 되면 다르겠지
내가 좋아하는 게임
늦잠도 매일 매일
공부 대신 훨씬 더 재밌는 게
세상에 가득하다 생각했어
하지만 시간이 흐른다고
다 어른이 되는 게 아니란 걸 알았어
누구도 나 대신 해주지 않아


난 어른이 되면 어떤 모습이 될까요?
하루빨리 어른이 되기를 꿈꿨죠
맛있는 것도
재밌는 것도
날마다 기대했는데
어른이 된다는 건 쉬운 게 아니겠죠?
어린이 여러분 지금 이 시간은 어떤 시간?
우리가 만들어가는 시간","['어른', '모습', 'ㄹ까요', '하루', '빨리', '어른', '꿈꾸', '맛있', '재밌', '마다', '기대', '는데', '어른', 'ㄴ다는', '어린이', '지금', '만들', '이름', '루시', '지금', '이렇게', '빠르', 'ㄴ데', '부르', '엄마', '목소리', '친구', '내일', '헤어지', '어른', '다르', '친구', '실컷', '핸드폰', '보고', '아이스크림', '생각', '흐르', 'ㄴ다고', '어른', '어른', 'ㄴ다는', '가꾸', '어른', '모습', 'ㄹ까요', '하루', '빨리', '어른', '꿈꾸', '맛있', '재밌', '마다', '기대', '는데', '어른', 'ㄴ다는', '어린이', '지금', '만들', '공부', '루시', '시험', '엄마', '친구', '잘하', 'ㄴ다', '사람', '비교', '빨리', '어른', '어른', '다르', '좋아하', '게임', '늦잠', '매일', '매일', '공부', '대신', '재밌', '세상', '가득', '하다', '생각', '흐르', 'ㄴ다고', '어른', '대신', '어른', '모습', 'ㄹ까요', '하루빨리', '어른', '꿈꾸', '맛있', '재밌', '마다', '기대', '는데', '어른', 'ㄴ다는', '어린이', '지금', '만들']"
18,타임캡슐,캐리와 친구들,타임캡슐 (캐리TV '러브콘서트 2024 타임캡슐' 수록곡),"타 타 타 타 타임캡슐
우리의 추억이 가득한 그 타임캡슐
타 타 타 타 타임캡슐
너무 행복했던 그 시절 그 타임캡슐

나의 추억을 가득 담은
동그란 타임캡슐
그 캡슐 안에 들어있는 어릴 적 나
두근두근 어떤 추억을 뽑아볼까?

지금 생각해보면
너무나도 즐거웠지
미끄럼틀 시소 그네
맘껏 뛰던 놀이터가 좋았었어


돌리고 돌리고 돌리면
짠! 하고 추억이 나오지
돌리고 돌리고 돌리면
다시 그 때로 돌아가고 싶어


타 타 타 타 타임캡슐
우리의 추억이 가득한 그 타임캡슐
타 타 타 타 타임캡슐
너무 행복했던 그 시절 그 타임캡슐


나의 추억을 가득 담은
동그란 타임캡슐
그 캡슐 안에 들어있는 어릴 적 나
두근두근 어떤 추억을 뽑아볼까?

지금 생각해보면
너무나도 즐거웠지
엄마 아빠와 손잡고
갔던 놀이동산이 기억났어


돌리고 돌리고 돌리면
짠! 하고 추억이 나오지
돌리고 돌리고 돌리면
다시 그 때로 돌아가고 싶어


타 타 타 타 타임캡슐
우리의 추억이 가득한 그 타임캡슐
타 타 타 타 타임캡슐
너무 행복했던 그 시절 그 타임캡슐


맞아 너무나 행복했지?
특별한 거 없이
그저 친구들과 함께 뛰어놀면
내 얼굴엔 함박 웃음이 가득했지

지금 생각해보면 뭐가 그리 좋았는지
빨리 행복했던 추억을
모두 꺼내 친구들과 보고싶어

돌리고 돌리고 돌리면
짠! 하고 추억이 나오지
돌리고 돌리고 돌리면
다시 그 때로 돌아가고 싶어

타 타 타 타 타임캡슐
우리의 추억이 가득한 그 타임캡슐
타 타 타 타 타임캡슐
너무 행복했던 그 시절 그 타임캡슐

돌리고 돌리고 돌리면
짠! 하고 추억이 나오지
돌리고 돌리고 돌리면
다시 그 때로 돌아가고 싶어

타 타 타 타 타임캡슐
우리의 추억이 가득한 그 타임캡슐
타 타 타 타 타임캡슐
너무 행복했던 그 시절 그 타임캡슐","['타임', '캡슐', '추억', '가득', '타임', '캡슐', '타임', '캡슐', '너무', '행복', '시절', '타임', '캡슐', '나의', '추억', '가득', '동그랗', '타임', '캡슐', '캡슐', '어리', '두근두근', '추억', 'ㄹ까', '지금', '생각', '너무나', '즐겁', '미끄럼틀', '시소', '그네', '맘껏', '놀이터', '돌리', '돌리', '돌리', '추억', '나오', '돌리', '돌리', '돌리', '다시', '돌아가', '타임', '캡슐', '추억', '가득', '타임', '캡슐', '타임', '캡슐', '너무', '행복', '시절', '타임', '캡슐', '나의', '추억', '가득', '동그랗', '타임', '캡슐', '캡슐', '어리', '두근두근', '추억', 'ㄹ까', '지금', '생각', '너무나', '즐겁', '엄마', '아빠', '손잡', '놀이', '동산', '기억나', '돌리', '돌리', '돌리', '추억', '나오', '돌리', '돌리', '돌리', '다시', '돌아가', '타임', '캡슐', '추억', '가득', '타임', '캡슐', '타임', '캡슐', '너무', '행복', '시절', '타임', '캡슐', '너무나', '행복', '특별', '없이', '친구', '뛰어놀', '얼굴', '함박', '웃음', '가득', '지금', '생각', '그리', '는지', '빨리', '행복', '추억', '친구', '돌리', '돌리', '돌리', '추억', '나오', '돌리', '돌리', '돌리', '다시', '돌아가', '타임', '캡슐', '추억', '가득', '타임', '캡슐', '타임', '캡슐', '너무', '행복', '시절', '타임', '캡슐', '돌리', '돌리', '돌리', '추억', '나오', '돌리', '돌리', '돌리', '다시', '돌아가', '타임', '캡슐', '추억', '가득', '타임', '캡슐', '타임', '캡슐', '너무', '행복', '시절', '타임', '캡슐']"
19,"나를 데려가요,프로방스호",강민우,2022 뤼팽,"아아 좋은 시대
혼란의 끝 평화의 시작
바다도 잠잠해 항해에 거릴 게 없네
모든 이가 예술을 하고 모든 문화가 번창을 하지
풍요와 화려함의 극치 프로방스 호
이곳에 탑승하신 여러분을 환영합니다
안녕하세요 레이몽드라고 해요
안녕하세요 반갑습니다
환영합니다
저는 장마르끄 선장입니다
출항하기 너무 좋은 날씨네요 그쵸
어디로 가나요
우리는 희망의 땅으로
누구와 오셨나요
누구라도 함께 할 수 있어
배에 타보니 이렇게 클 줄 몰랐어요
대서양을 횡단하는 배라면 이 정도 크기는 돼야죠
이 배가 그렇게 빠르다면서요
대서양을 횡단하는 배라면 이 정도 속도는 돼야죠
이보다 좋은 날이 있을까요 이보다 완벽한 날이 있을까요
이런 날을 누구나 꿈꾼다오
모든 것이 가능해 심각할 필요 없어 인생은 즐기는 것
모험으로 가득해 예술과 멋으로 살아 인생은 즐기는 것
상쾌하고 단 한번도 해본 적 없는 그런 여행 이번이 그런 여행이 될 거예요
그 소식 들었나요
성에서 열리는 성대한 파티
저도 갈 수 있나요
누구라도 함께 할 수 있어
죄송합니다
아 아닙니다 조심성 없었던 제 탓입니다
괜찮습니까
네 괜찮습니다 친절 하시네요
조심하세요 아직 출항한지 얼마 안돼서 파도가 센가 봅니다
아 네
혹시 제가 이름이라도 알 수 있을까요
레이몽드입니다 경은 성함이
플로리아니 입니다 플로라고 불러주세요
네
이것도 인연인데 저녁에 차라도 함께 할 수 있을까요
네 좋아요
감사합니다 이따 뵙겠습니다
모든 것이 가능해 불안할 필요 없어 인생은 즐기는 것
행복으로 가득해 사랑과 정으로 살아 인생은 즐기는 것
상냥하고 햇살처럼 따스한 그런 사람
이번이 그런 여행이 될 거예요
그러나 인생은 바다와 같은 것
잠잠해 보여도 언젠가는 파와 폭풍에 휩싸여
평화 평화는 이불과 같아서 무엇이든 덮어버리네
우리는 아직도 갈 길이 멀어요 이것으로 만족할 수 없어요
모든 것이 가능하다고 하지만
모든 것이 가능하지 않은 사람들은
인생은 즐기는 것이라고 하지만
모험 따위 꿈도 꾸지 못하는 사람들은 세상은 변해야 해요
지금의 이 세상은 바뀌어야 해요
이제 출발하네
행복이 시작되네  우린 모두 친구
이제 출발하네
술 한잔과 함께라면 희망이 시작되네
당신과도 오랜 친구
나를 데려가요 프로방스호 나를 불러줘요 프로방스호","['시대', '혼란', '평화', '시작', '바다', '항해', '거리', '모든', '예술', '모든', '문화', '번창', '풍요', '화려', '함의', '극치', '프로', '방스', '탑승', '환영', 'ㅂ니다', '안녕하', '세요', '레이몽드', '라고', '안녕', '하세', '반갑', '환영', 'ㅂ니다', '장마', '르끄', '선장', 'ㅂ니다', '출항', '너무', '날씨', '희망', '오시', '나요', '라도', '이렇게', '모르', '어요', '대서양', '횡단', '라면', '정도', '크기', '야죠', '그렇', '빠르', '다면서요', '대서양', '횡단', '라면', '정도', '속도', '야죠', '보다', '을까요', '보다', '완벽', '을까요', '꿈꾸', 'ㄴ다오', '모든', '가능', '심각', '필요', '인생', '즐기', '모험', '가득', '예술', '인생', '즐기', '상쾌', '한번', '해보', '그런', '여행', '그런', '여행', '에요', '소식', '나요', '성에', '열리', '성대', '파티', '어도', '나요', '라도', '죄송', 'ㅂ니다', 'ㅂ니다', '조심성', 'ㅂ니다', '괜찮', '괜찮', '네요', '조심', '세요', '아직', '출항', '안되', '어서', '파도', 'ㄴ가', 'ㅂ니다', '제가', '이름', '라도', '을까요', '레이몽드입니', '성함', '플로리', 'ㅂ니다', '플로라', '부르', '세요', '인연', 'ㄴ데', '저녁', '을까요', '아요', '감사', 'ㅂ니다', '이따', '모든', '가능', '불안', '필요', '인생', '즐기', '행복', '가득', '사랑과', '인생', '즐기', '상냥', '햇살', '처럼', '따스', '그런', '사람', '그런', '여행', '에요', '그러', '인생', '바다', '보이', '어도', '파와', '폭풍', '휩싸이', '평화', '평화', '이불', '아서', '버리', '아직', '어요', '만족', '어요', '모든', '가능', '다고', '모든', '가능', '사람', '인생', '즐기', '라고', '모험', '못하', '사람', '세상', '변하', '어야', '지금', '세상', '바뀌', '어야', '이제', '출발', '행복', '시작', '친구', '이제', '출발', '한잔', '라면', '희망', '시작', '오랜', '친구', '데리', '가요', '프로', '스호', '부르', '어요', '프로', '스호']"
20,꾼따 파워,김건,내 친구 꾼따(with 뿡따),"꾼따 꾼따 꾼따 꾼따 꾼따 파워
이 환경을 지키는 힘이여
꾼따 꾼따 꾼따 꾼따 꾼따 파워
이 지구를 지키는 힘이여

지구를 지키는
환경을 지키는
하나 둘 셋
꾼따

우리 사는 지구 아름다워라
뭉게구름 피어나는 파란 하늘아
소중한 약속 위로 꿈과 희망이
찬란한 내일 향해 함께 달리자
꾼따 파워

꾼따 꾼따 꾼따 꾼따
꾼따 꾼따 꾼따 파워
꾼따 꾼따 파워
꾼따 꾼따 파워

Save the Earth
Save the Earth

아빠의 대지 위에 힘껏 달리고
뭉게구름 피어나는 파란 하늘아
소중한 약속 위로 꿈과 희망이
찬란한 내일 향해 함께 달리자

꾼따 꾼따 꾼따 꾼따 꾼따 파워
꾼따
꾼따 꾼따 꾼따 꾼따 꾼따 파워
이 환경을 지키는
지구를 지키는
힘이여","['파워', '환경', '지키', '파워', '지구', '지키', '지구', '지키', '환경', '지키', '지구', '아름답', '뭉게구름', '피어나', '파란', '하늘', '소중', '약속', '희망', '찬란', '내일', '달리', '파워', '파워', '파워', '파워', 'Save', 'the', 'Earth', 'Save', 'the', 'Earth', '아빠', '대지', '힘껏', '달리', '뭉게구름', '피어나', '파란', '하늘', '소중', '약속', '희망', '찬란', '내일', '달리', '파워', '파워', '환경', '지키', '지구', '지키', '이여']"
21,다이노스터 공룡수호대 오프닝(뮤지컬.Ver),퍼니플럭스,다이노스터 공룡수호대 '뮤지컬 퀀텀코어를 지켜라',"다이노스터
공룡과 함께 모험을 시작해
자 뛰어봐
세상 위로 뛰어 올라
니 꿈을 펼쳐봐
시작이야 Transforming Quantum
세상을 지키는 거야
소리쳐봐 저기 퀀텀 코어를 향해
준비됐어 내 손 잡아
다이노스터
공룡과 함께 모험을 시작해
자 날아봐
이 세상을 날아 올라
우린 다이노스터","['다이', '노스', '공룡', '모험', '시작하', '세상', '오르', '펼치', '시작', 'Transforming', 'Quantum', '세상', '지키', '소리치', '코어', '향하', '준비', '다이', '노스', '공룡', '모험', '시작하', '날으', '세상', '날으', '오르', '다이', '노스']"
22,엄마의 시간,캐리와 친구들,엄마의 시간 (캐리TV '러브콘서트 2024 타임캡슐' 수록곡),"언제나 엄마의 시간 속엔
밤하늘 별처럼 늘 내가 가득하죠

엄마의 그 마음 나는 다 알아요
더 이상 내게 미안해하지 마요

세상에 내가 받은 특별한 사랑
어떤 말로도 부족하죠

엄마는 늘 최선을 다해
사랑을 선물하죠
언제나 고마워요
그 마음 전부 알아요

시간이 거꾸로 흘러
다시 돌아간다 해도
엄마와 함께하는
아이가 되고 싶어요

엄마는 늘 내게 말하죠
더 많이 놀아주지 못해
늘 미안하다 하죠

하지만 난 알아요 느낄 수가 있죠
엄마의 사랑이면 너무 행복해요
사랑해

엄마는 늘 최선을 다해
사랑을 선물하죠
언제나 고마워요
그 마음 전부 알아요

시간이 거꾸로 흘러
다시 돌아간다 해도
엄마의 사랑으로 행복해요

나는 정말 행운이에요
엄마의 아이로 태어나서
사랑합니다

엄마는 늘 최선을 다해
사랑을 선물하죠
언제나 고마워요
그 마음 전부 알아요

시간이 거꾸로 흘러
다시 돌아간다 해도
엄마와 함께하는 아이가 되고 싶어요","['언제나', '엄마', '밤하늘', '처럼', '가득', '엄마', '마음', '아요', '미안', '해하', '세상', '내가', '특별', '사랑', '부족', '엄마', '최선', '다하', '사랑', '선물', '언제나', '고맙', '어요', '마음', '아요', '거꾸로', '흘르', '다시', '돌아가', 'ㄴ다', '어도', '엄마', '어요', '엄마', '말하', '많이', '못하', '미안', '하다', '아요', '느끼', '엄마', '사랑', '너무', '행복', '어요', '사랑', '엄마', '최선', '다하', '사랑', '선물', '언제나', '고맙', '어요', '마음', '아요', '거꾸로', '흘르', '다시', '돌아가', 'ㄴ다', '어도', '엄마', '사랑', '행복', '어요', '정말', '행운', '이에', '엄마', '태어나', '사랑', 'ㅂ니다', '엄마', '최선', '다하', '사랑', '선물', '언제나', '고맙', '어요', '마음', '아요', '거꾸로', '흘르', '다시', '돌아가', 'ㄴ다', '어도', '엄마', '어요']"
